Date,Crackwidth,With_temp,Rainfall
19890420,0.0,10.36,1000000.0
19900511,2.07,-2.642,1000000.0
19900523,1.87,-1.8159999999999998,1000000.0
19910824,1.45,4.37,1000000.0
19910911,1.45,4.59,1000000.0
19910919,1.38,4.81,1000000.0
19911008,1.32,4.66,1000000.0
19911023,1.34,4.22,1000000.0
19911122,1.45,3.03,1000000.0
19911206,1.64,1.41,1000000.0
19911220,1.7,1.11,1000000.0
19920221,2.53,-3.845,1000000.0
19920302,2.49,-4.457,1000000.0
