Date,Crackwidth,With_temp,Rainfall
19870712,0.0,14.04,1000000.0
19870713,0.06,15.46,1000000.0
19870714,-0.06,13.38,1000000.0
19870715,0.02,17.02,1000000.0
19870716,-0.08,17.73,1000000.0
19870717,-0.04,18.5,1000000.0
19870721,-0.02,19.43,1000000.0
19870725,-0.04,19.43,1000000.0
19870806,-0.04,19.85,1000000.0
19870911,0.04,21.62,1000000.0
19871013,-0.04,22.48,1000000.0
19871123,0.06,23.11,1000000.0
19871205,0.08,22.97,1000000.0
19880106,-0.04,22.55,1000000.0
19880119,-0.06,22.48,1000000.0
19880202,0.04,22.48,1000000.0
19880406,0.04,18.93,1000000.0
19880419,0.08,20.07,1000000.0
19880506,-0.04,19.71,1000000.0
19880519,-0.04,19.14,1000000.0
19880610,-0.02,18.93,1000000.0
19880623,-0.02,18.58,1000000.0
19880712,0.04,18.36,1000000.0
19880722,-0.04,17.87,1000000.0
19880805,-0.02,17.65,1000000.0
19880818,0.02,17.65,1000000.0
19880906,0.1,17.37,1000000.0
19880920,0.02,17.16,1000000.0
19881006,0.04,17.02,1000000.0
19881021,-0.12,16.52,1000000.0
19881108,0.02,16.66,1000000.0
19881122,0.02,16.59,1000000.0
19881208,0.02,16.24,1000000.0
19881221,0.02,16.17,1000000.0
19890106,0.02,16.02,1000000.0
19890120,0.02,15.74,1000000.0
19890215,0.02,15.67,1000000.0
19890306,0.14,15.24,1000000.0
19890322,0.14,15.03,1000000.0
19890406,0.14,14.96,1000000.0
19890420,0.18,14.89,1000000.0
19890509,0.16,15.03,1000000.0
19890522,0.18,15.31,1000000.0
19890613,0.04,14.39,1000000.0
19890622,0.08,14.68,1000000.0
19890711,0.1,14.18,1000000.0
19890719,0.22,14.32,1000000.0
19890726,0.1,13.97,1000000.0
19890804,0.04,13.9,1000000.0
19890816,0.08,13.97,1000000.0
19890907,0.02,13.76,1000000.0
19890920,0.02,13.61,1000000.0
19891013,0.04,13.54,1000000.0
19891021,0.02,13.61,1000000.0
19891110,0.04,13.4,1000000.0
19891125,0.06,13.33,1000000.0
19891214,0.06,13.4,1000000.0
19891223,0.06,13.33,1000000.0
19900105,0.08,13.33,1000000.0
19900117,0.18,13.47,1000000.0
19900213,0.02,13.26,1000000.0
19900222,0.12,13.19,1000000.0
19900310,0.08,13.19,1000000.0
19900322,0.1,13.05,1000000.0
19900411,0.08,13.05,1000000.0
19900424,0.12,12.9,1000000.0
19900427,0.04,12.98,1000000.0
19900511,0.04,12.83,1000000.0
19900523,0.04,12.9,1000000.0
19900611,0.04,14.04,1000000.0
19900626,0.06,12.55,1000000.0
19900712,0.1,12.69,1000000.0
19900721,0.02,12.83,1000000.0
19900808,0.06,12.9,1000000.0
19900821,0.08,12.69,1000000.0
19900904,0.1,12.48,1000000.0
19901004,0.08,12.34,1000000.0
19901019,0.1,12.27,1000000.0
19901110,0.08,12.69,1000000.0
19901122,0.06,12.27,1000000.0
19901206,0.12,10.35,1000000.0
19901221,0.04,10.35,1000000.0
19910110,0.06,12.19,1000000.0
19910124,0.02,12.19,1000000.0
19910201,-0.06,11.98,1000000.0
19910308,-0.08,12.12,1000000.0
19910322,0.08,12.12,1000000.0
19910412,0.06,11.91,1000000.0
19910419,0.04,11.98,1000000.0
19910509,0.06,11.98,1000000.0
19910524,0.02,11.84,1000000.0
19910614,0.02,12.27,1000000.0
19910625,0.12,11.91,1000000.0
19910712,0.02,11.7,1000000.0
19910724,0.1,11.91,1000000.0
19910812,0.08,11.7,1000000.0
19910824,0.1,11.77,1000000.0
19910911,0.08,11.34,1000000.0
19910919,0.04,11.49,1000000.0
19911008,0.06,11.63,1000000.0
19911023,0.08,11.63,1000000.0
19911108,0.04,11.56,1000000.0
19911122,0.12,11.56,1000000.0
19911206,0.12,11.41,1000000.0
