Date,Crackwidth,With_temp,Rainfall
19870509,0.0,25.77,1000000.0
19870521,-1.76,16.22,1000000.0
19870615,-1.66,15.69,1000000.0
19870621,-1.58,14.93,1000000.0
19870712,-1.7,15.77,1000000.0
19870723,-1.7,14.33,1000000.0
19870812,-1.68,12.66,1000000.0
19870822,-1.51,12.66,1000000.0
19871016,-1.54,14.63,1000000.0
19871022,-1.58,12.89,1000000.0
19871108,-1.66,15.16,1000000.0
19871211,-1.29,14.55,1000000.0
19871224,-0.67,14.63,1000000.0
19880105,-0.55,13.64,1000000.0
19880118,1.72,10.31,1000000.0
19880608,0.87,12.81,1000000.0
19880622,0.73,13.95,1000000.0
19880713,0.85,15.84,1000000.0
19880723,0.4,15.92,1000000.0
19880811,0.57,15.61,1000000.0
19880820,0.53,15.31,1000000.0
19880906,0.53,15.99,1000000.0
19880919,0.26,14.86,1000000.0
19881011,0.18,15.01,1000000.0
19881024,0.21,14.86,1000000.0
19881108,0.08,15.24,1000000.0
19881122,-0.04,13.49,1000000.0
19881209,-0.04,15.61,1000000.0
19881219,-0.14,15.84,1000000.0
19890106,0.12,15.69,1000000.0
19890117,0.18,15.92,1000000.0
19890905,4.14,14.25,1000000.0
19890920,2.18,14.78,1000000.0
19891004,2.02,18.8,1000000.0
19891024,2.24,15.46,1000000.0
19891221,2.24,16.07,1000000.0
19900103,2.26,9.02,1000000.0
19900117,2.24,16.83,1000000.0
19900208,2.26,17.43,1000000.0
19900219,2.87,15.31,1000000.0
19900305,3.33,15.31,1000000.0
19900316,3.17,14.93,1000000.0
19900426,3.54,14.33,1000000.0
19900427,3.88,14.02,1000000.0
19900508,3.94,13.95,1000000.0
19900525,2.93,14.25,1000000.0
19900613,2.46,14.48,1000000.0
19900625,2.48,14.18,1000000.0
19900704,2.4,14.25,1000000.0
19900719,2.24,14.33,1000000.0
19900807,2.32,14.48,1000000.0
19900817,2.3,14.4,1000000.0
19900904,2.56,14.86,1000000.0
19900920,2.77,14.78,1000000.0
19901009,3.54,14.78,1000000.0
19901018,4.1,14.86,1000000.0
19901108,3.96,15.31,1000000.0
19901123,3.01,15.69,1000000.0
19901203,3.27,15.92,1000000.0
19901217,3.33,15.99,1000000.0
19910107,3.29,15.69,1000000.0
19910117,2.87,9.1,1000000.0
19910205,2.67,9.78,1000000.0
19910228,2.95,9.25,1000000.0
19910312,2.95,9.7,1000000.0
19910322,2.14,8.94,1000000.0
19910409,2.87,9.17,1000000.0
19910417,2.67,9.7,1000000.0
19910515,2.73,8.19,1000000.0
19910524,3.13,7.73,1000000.0
19910615,3.35,11.29,1000000.0
19910622,2.38,11.45,1000000.0
19910711,2.83,12.73,1000000.0
19910727,2.63,12.43,1000000.0
19910812,2.69,13.42,1000000.0
19910820,2.24,12.81,1000000.0
19910913,2.22,13.19,1000000.0
19910924,2.12,14.78,1000000.0
19911007,2.46,14.55,1000000.0
19911017,2.14,15.31,1000000.0
19911101,1.94,15.39,1000000.0
19911121,2.12,16.37,1000000.0
19911206,2.04,16.52,1000000.0
19911218,2.0,16.15,1000000.0
19920106,2.04,16.6,1000000.0
19920117,1.94,16.68,1000000.0
19920221,2.14,16.98,1000000.0
19920406,1.76,15.84,1000000.0
19920508,1.78,14.33,1000000.0
19920525,1.56,14.48,1000000.0
19920612,1.94,14.25,1000000.0
19920622,1.96,14.18,1000000.0
