Date,Crackwidth,With_temp,Rainfall
19870429,0.0,17.03,1000000.0
19870505,0.01,18.65,1000000.0
19870515,-0.01,17.25,1000000.0
19870518,-0.01,16.82,1000000.0
19870522,-0.02,16.26,1000000.0
19870603,0.45,15.42,1000000.0
19870624,0.43,14.93,1000000.0
19870710,0.41,15.07,1000000.0
19870721,0.44,14.37,1000000.0
19870801,0.8,15.07,1000000.0
19870820,0.97,13.25,1000000.0
19870914,0.87,12.76,1000000.0
19870922,0.88,12.55,1000000.0
19871007,0.74,11.99,1000000.0
19871016,0.74,11.78,1000000.0
19871102,0.59,11.22,1000000.0
19871116,0.45,11.22,1000000.0
19871204,0.4,11.08,1000000.0
19871217,0.49,10.73,1000000.0
19880106,0.63,9.88,1000000.0
19880118,0.65,9.25,1000000.0
19880201,0.87,8.13,1000000.0
19880309,1.12,5.54,1000000.0
19880321,1.27,4.77,1000000.0
19880409,1.27,4.21,1000000.0
19880419,1.24,3.93,1000000.0
19880509,1.16,4.63,1000000.0
19880521,1.04,5.26,1000000.0
19880607,0.92,6.52,1000000.0
19880617,0.88,7.01,1000000.0
19880713,1.06,7.36,1000000.0
19880726,1.18,7.36,1000000.0
19880803,1.14,7.36,1000000.0
19880817,1.18,7.71,1000000.0
19880903,1.08,8.62,1000000.0
19880920,0.97,8.69,1000000.0
19881007,0.86,9.04,1000000.0
19881017,0.84,9.25,1000000.0
19881107,0.65,9.88,1000000.0
19881122,0.67,10.31,1000000.0
19881207,0.71,10.73,1000000.0
19881221,0.69,10.65,1000000.0
19890106,0.69,10.8,1000000.0
19890123,0.82,10.65,1000000.0
