Date,Crackwidth,With_temp,Rainfall
19871007,0.0,21.34,1000000.0
19871102,0.14,17.1,1000000.0
19871116,0.14,15.64,1000000.0
19871204,0.26,13.14,1000000.0
19871217,0.95,10.91,1000000.0
19880105,1.28,8.55,1000000.0
19880118,1.34,7.09,1000000.0
19880201,1.58,3.41,1000000.0
19880308,1.71,3.55,1000000.0
19880321,1.83,3.13,1000000.0
19880409,1.71,3.27,1000000.0
19880419,1.58,3.75,1000000.0
19880509,1.22,5.49,1000000.0
19880521,0.93,6.88,1000000.0
19880607,0.71,8.76,1000000.0
19880617,0.67,9.38,1000000.0
19880713,0.63,10.56,1000000.0
19880726,0.49,11.61,1000000.0
19880804,0.41,12.16,1000000.0
19880817,0.43,13.07,1000000.0
19880902,0.32,13.83,1000000.0
19880920,0.22,14.46,1000000.0
19881007,0.12,14.39,1000000.0
19881017,0.2,14.18,1000000.0
19881107,0.28,13.2,1000000.0
19881122,0.77,11.81,1000000.0
19881207,1.34,10.08,1000000.0
19881221,1.71,11.88,1000000.0
19890106,1.81,13.0,1000000.0
19890123,2.58,6.12,1000000.0
19890227,2.84,4.38,1000000.0
19890308,2.9,3.82,1000000.0
19890317,2.86,3.89,1000000.0
19890408,2.31,3.82,1000000.0
19890418,2.27,3.89,1000000.0
19890509,1.75,5.28,1000000.0
19890523,1.4,6.32,1000000.0
19890609,1.26,7.64,1000000.0
19890713,0.95,9.59,1000000.0
19890719,0.97,9.94,1000000.0
19890727,0.79,10.36,1000000.0
19890802,0.85,10.91,1000000.0
19890817,0.73,11.61,1000000.0
19890825,0.67,12.16,1000000.0
19890905,0.77,12.51,1000000.0
19890922,0.59,13.0,1000000.0
19891012,0.53,13.34,1000000.0
19891113,0.69,12.44,1000000.0
19891128,0.93,12.02,1000000.0
19891207,1.06,11.47,1000000.0
19891221,1.2,10.63,1000000.0
19900105,1.48,10.22,1000000.0
19900119,1.32,9.31,1000000.0
19900208,1.89,7.85,1000000.0
19900221,1.97,7.3,1000000.0
19900305,2.4,6.6,1000000.0
19900316,2.05,5.91,1000000.0
19900417,1.64,6.26,1000000.0
19900424,1.71,6.32,1000000.0
19900427,1.52,6.39,1000000.0
19900507,1.46,6.67,1000000.0
19900524,1.28,7.3,1000000.0
19900608,1.18,8.2,1000000.0
19900622,1.08,9.03,1000000.0
19900707,0.85,10.01,1000000.0
19900723,0.22,11.67,1000000.0
19900808,0.63,12.23,1000000.0
19900822,0.61,13.55,1000000.0
19900905,0.55,13.62,1000000.0
19900921,0.47,14.04,1000000.0
19901009,0.41,14.25,1000000.0
19901018,0.43,14.18,1000000.0
19901106,0.47,13.9,1000000.0
19901116,0.51,13.55,1000000.0
19901205,0.83,12.86,1000000.0
19901218,1.16,12.02,1000000.0
19910111,1.66,10.29,1000000.0
19910121,1.77,9.8,1000000.0
19910201,1.99,8.76,1000000.0
19910228,1.99,7.02,1000000.0
19910312,2.19,6.6,1000000.0
19910321,2.01,6.39,1000000.0
19910410,1.58,6.32,1000000.0
19910418,1.64,6.6,1000000.0
19910513,1.6,6.81,1000000.0
19910521,1.58,7.16,1000000.0
19910624,1.58,9.38,1000000.0
19910711,1.52,10.63,1000000.0
19910724,1.5,11.61,1000000.0
19910812,1.48,12.79,1000000.0
19910821,1.48,13.14,1000000.0
19910906,1.44,13.97,1000000.0
19910924,1.38,14.32,1000000.0
19911007,1.3,14.46,1000000.0
19911015,1.36,14.39,1000000.0
19911102,1.36,14.18,1000000.0
19911120,1.36,13.41,1000000.0
19911206,1.24,11.75,1000000.0
19911217,1.42,11.75,1000000.0
19920106,2.33,10.15,1000000.0
19920120,2.68,8.97,1000000.0
19920213,3.0,7.37,1000000.0
19920303,3.17,6.32,1000000.0
19920317,3.02,5.56,1000000.0
19920406,2.6,5.21,1000000.0
19920508,1.91,6.05,1000000.0
19920526,1.77,5.35,1000000.0
19920605,1.71,8.5,1000000.0
19920621,1.71,8.55,1000000.0
19920706,1.6,9.52,1000000.0
