Date,Crackwidth,With_temp,Rainfall
19861208,0.0,15.34,1000000.0
19870110,0.16,12.98,1000000.0
19870203,0.23,11.54,1000000.0
19870219,0.12,10.61,1000000.0
19870312,0.16,9.8,1000000.0
19870319,0.16,9.39,1000000.0
19870414,0.14,8.89,1000000.0
19870512,0.14,9.25,1000000.0
19870609,-0.04,8.96,1000000.0
19870625,0.21,8.6,1000000.0
19870708,0.21,8.39,1000000.0
19870723,0.23,8.6,1000000.0
19870813,0.19,8.82,1000000.0
19870822,0.14,8.82,1000000.0
19870909,0.19,8.82,1000000.0
19870922,0.19,9.11,1000000.0
19871010,0.16,9.39,1000000.0
19871022,0.19,9.32,1000000.0
19871216,0.21,9.61,1000000.0
19880105,0.0,9.46,1000000.0
19880118,0.12,8.96,1000000.0
19880202,0.23,15.56,1000000.0
19880309,0.72,15.06,1000000.0
19880321,0.39,14.98,1000000.0
19880406,0.37,14.63,1000000.0
19880418,0.37,14.41,1000000.0
19880505,0.39,7.03,1000000.0
19880519,0.37,7.24,1000000.0
19880609,0.41,6.74,1000000.0
19880623,0.45,6.74,1000000.0
19880726,0.41,7.03,1000000.0
19880806,0.87,6.81,1000000.0
19880818,0.41,7.39,1000000.0
19880906,0.39,7.74,1000000.0
19880920,0.39,7.74,1000000.0
19881007,0.68,7.96,1000000.0
19881021,0.29,8.68,1000000.0
19881108,0.31,9.11,1000000.0
19881121,0.31,9.03,1000000.0
19881208,0.06,9.54,1000000.0
19881221,0.6,9.54,1000000.0
19890106,0.08,9.39,1000000.0
19890120,0.1,9.03,1000000.0
19890218,0.08,8.68,1000000.0
19890306,0.08,9.39,1000000.0
19890322,0.14,9.32,1000000.0
19890406,0.14,9.75,1000000.0
19890420,0.14,8.6,1000000.0
19890509,0.56,8.82,1000000.0
19890522,0.74,8.32,1000000.0
19890613,0.78,8.46,1000000.0
19890621,0.23,8.6,1000000.0
19890711,0.37,8.96,1000000.0
19890719,0.27,8.75,1000000.0
19890727,0.31,8.75,1000000.0
19890804,0.41,7.6,1000000.0
19890816,0.37,7.67,1000000.0
19890907,0.7,7.6,1000000.0
19890920,0.74,7.82,1000000.0
19891013,0.27,9.03,1000000.0
19891021,0.6,7.89,1000000.0
19891110,0.25,9.39,1000000.0
19891124,-0.04,9.75,1000000.0
19891214,0.25,9.82,1000000.0
19891223,0.29,10.04,1000000.0
19900106,0.93,9.54,1000000.0
19900116,0.89,9.39,1000000.0
