real,predict
0.6005845697910045,0.38757277
0.8769831490431049,0.8571093
0.8442948455586889,0.98743904
0.6364904923549144,0.5891176
0.6634584921688323,0.6442923
0.6844053379676378,0.7645606
0.3987711883448564,0.5251977
0.2637924500764757,0.17248046
0.5767474573218577,0.5343393
0.8233230898621536,0.74213266
0.7136661973583798,0.6930599
0.6335765065779924,0.57883495
0.7174944463215389,0.6271274
0.6778326413017073,0.7349409
0.56611099316039,0.47156122
0.6435492316713952,0.5916028
0.7338845269716202,0.77318954
0.59799783711885,0.6327396
0.4941398572213123,0.38294902
0.6090958393686887,0.62526363
0.6053708321600494,0.7338209
0.3432933765758496,0.41922954
0.19183413704387706,0.19568948
0.2568877983940358,0.37004143
0.2822183867190332,0.3561734
0.32807936554427225,0.22499941
0.5691039202125004,0.5150519
0.7642716950104653,0.78889906
0.7175175642761078,0.745114
0.6655101207263298,0.5186566
0.7415099334720474,0.75231504
0.7224745957907853,0.7809663
0.4899944066044028,0.52398
0.2420237576753624,0.272904
0.1966215503922466,0.23497912
0.2937562296784413,0.3758241
0.32388492102312794,0.3441097
0.3529954175866439,0.28054714
0.5923742966452374,0.51131845
0.7653061224489794,0.8503139
